date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:41	9935/9935	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:40%20GMT	https://botsbase.net/bot/738517353486221343	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/738517353486221343.html	(from https://botsbase.net/)
10:21:41	4260/4260	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:41%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/738517353486221343/7e29caf8a6fe37cef0e6374d631da4dc.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imagea44a.png	(from https://botsbase.net/)
10:21:41	10146/10146	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:41%20GMT	https://botsbase.net/bot/736892633242402908	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/736892633242402908.html	(from https://botsbase.net/)
10:21:41	2228/2228	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:41%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/736892633242402908/fede48b7f9994c64c9c7e9232987aa5d.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imagead99.png	(from https://botsbase.net/)
10:21:41	89476/89476	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Dec%202020%2011:27:23%20GMT	https://botsbase.net/assets/js/jquery.min.js	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/assets/js/jquery.min.js	(from https://botsbase.net/)
10:21:42	2965/2965	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Dec%202020%2016:54:08%20GMT	https://botsbase.net/assets/js/main.js	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/assets/js/main.js	(from https://botsbase.net/)
10:21:48	5/5	---M--	200	added ('OK')	text/css	etag:%225f4f199b-5%22	https://p.typekit.net/p.css?s=1&k=wsc2hzy&ht=tk&f=137.32899.32904&a=13813508&app=typekit&e=css	C:/Benim%20Web%20Sitem/botlistsite/p.typekit.net/p4029.css	(from https://use.typekit.net/wsc2hzy.css)
10:21:49	33932/33932	---M--	200	added ('OK')	application/font-woff2	etag:%227e2bf51198d2ced5a36f2d4d9e925f0b9fa0fbe5%22	https://use.typekit.net/af/b683e3/00000000000000003b9b306c/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/b683e3/00000000000000003b9b306c/27/lc150	(from https://use.typekit.net/wsc2hzy.css)
10:21:49	35516/35516	---M--	200	added ('OK')	application/font-woff	etag:%227e2bf51198d2ced5a36f2d4d9e925f0b9fa0fbe5%22	https://use.typekit.net/af/b683e3/00000000000000003b9b306c/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/b683e3/00000000000000003b9b306c/27/dc150	(from https://use.typekit.net/wsc2hzy.css)
10:21:50	27480/27480	---M--	200	added ('OK')	application/font-woff2	etag:%221b3e6853b0646e3dd57fcb34d92434b95c49d1db%22	https://use.typekit.net/af/cfd60a/00000000000000003b9b3034/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/cfd60a/00000000000000003b9b3034/27/le003	(from https://use.typekit.net/wsc2hzy.css)
